reference id,Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id,,,,
442611,442611,"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",C22H22O11,462.4,C05990 ,,,,
442936,442936,"(1R,2R,9R,12R)-12-prop-2-enyl-7,11-diazatricyclo[7.3.1.02,7]tridec-5-en-4-one",C14H20N2O,232.32,C10747 ,,,,
442900,442900,"1-[3,5-bis[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-2,4,6-trihydroxyphenyl]butan-1-one ",C36H44O12,668.7,C10669 ,,,,
442774,442774,"4-[(3R)-8,8-dimethyl-3,4-dihydro-2H-pyrano[2,3-f]chromen-3-yl]-2-(3-methylbut-2-enyl)benzene-1,3-diol",C25H28O4,392.5,C10425 ,,,,
5316261,5316261,"7,15-dihydroxy-19,19-dimethyl-11-(2-methylprop-1-enyl)-2,10,20-trioxapentacyclo[12.8.0.03,12.04,9.016,21]docosa-1(22),3(12),4(9),5,7,14,16(21),17-octaen-13-one",C25H22O6,418.4,Not available,,,,
5316836,,,,,,,,,
5318517,,,,,,,,,
5316827,5316827,"1-[3-[(3-acetyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-5-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-2,4,6-trihydroxyphenyl]butan-1-one ",C34H40O12,640.7,Not available,,,,
5317756,5317756,"3-(2,4-dihydroxyphenyl)-7-hydroxy-5-methoxy-6-(3-methylbut-2-enyl)chromen-2-one ",C21H20O6,368.4,Not available,,,,
5317764,5317764,"3-[3,4-dihydroxy-5-(3-methylbut-2-enyl)phenyl]-5,7-dihydroxychromen-4-one ",C20H18O6,354.4,Not available,,,,
2346,2346,isothiocyanatomethylbenzene ,C8H7NS,149.21,C03098 ,,,,
16741,16741,2-isothiocyanatoethylbenzene ,C9H9NS,163.24,Not available,,,,
23205,23205,"(3aR,5R,5aR,8aR,9S,9aS)-9-hydroxy-5,8a-dimethyl-1-methylidene-3a,4,5,5a,9,9a-hexahydroazuleno[6,7-b]furan-2,8-dione",C15H18O4,262.3,C09473 ,,,,
185124,185124,4-[2-hydroxy-3-(4-hydroxyphenyl)propyl]phenol ,C15H16O3,244.28,Not available,,,,
16573,16573,"(6aS)-1,2,10-trimethoxy-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinolin-9-ol",C20H23NO4,341.4,Not available,,,,
16315,16315,3-(prop-2-enyltrisulfanyl)prop-1-ene ,C6H10S3,178.3,Not available,,,,
